aspect_norm,neg,neu,pos,volume_total,pos_rate,neg_rate,impact_score
application,6709.0,17211.0,113577.0,137497.0,0.8260325679833015,0.048793791864549775,9.195795380791381
texture,43378.0,85876.0,389583.0,518837.0,0.750877443204706,0.08360621929430631,8.78085356166586
effectiveness,9847.0,21812.0,113727.0,145386.0,0.7822417564277165,0.06773004278266133,8.493511083254617
hydration,12193.0,25109.0,113821.0,151123.0,0.7531679492863429,0.0806826227642384,8.019963146616906
finish,3572.0,7718.0,40113.0,51403.0,0.7803630138318776,0.06949010758126957,7.711173426767566
ingredients,15371.0,16789.0,86999.0,119159.0,0.7301085104775972,0.12899571161221562,7.025940084728975
irritation,9854.0,9259.0,55918.0,75031.0,0.7452652903466567,0.13133238261518573,6.891808204803984
fragrance,23441.0,41583.0,128132.0,193156.0,0.663360185549504,0.12135786618070368,6.596850395553418
packaging,15884.0,26019.0,83524.0,125427.0,0.6659172267534104,0.1266393998102482,6.330845129247532
price,20189.0,27423.0,94699.0,142311.0,0.6654369655191799,0.14186535123778204,6.212584075874489
longevity,373.0,1113.0,3721.0,5207.0,0.7146149414250048,0.071634338390628,5.502596612955326
sillage,30.0,48.0,171.0,249.0,0.6867469879518072,0.12048192771084337,3.126610399271392
